scorer,DLC_resnet50_Cat_videoFeb2shuffle1_50000,DLC_resnet50_Cat_videoFeb2shuffle1_50000,DLC_resnet50_Cat_videoFeb2shuffle1_50000,DLC_resnet50_Cat_videoFeb2shuffle1_50000,DLC_resnet50_Cat_videoFeb2shuffle1_50000,DLC_resnet50_Cat_videoFeb2shuffle1_50000,DLC_resnet50_Cat_videoFeb2shuffle1_50000,DLC_resnet50_Cat_videoFeb2shuffle1_50000,DLC_resnet50_Cat_videoFeb2shuffle1_50000,DLC_resnet50_Cat_videoFeb2shuffle1_50000,DLC_resnet50_Cat_videoFeb2shuffle1_50000,DLC_resnet50_Cat_videoFeb2shuffle1_50000
bodyparts,leftear,leftear,leftear,rightear,rightear,rightear,paw,paw,paw,nose,nose,nose
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
41,356.7708794080461,420.4623353111417,0.6776871085166931,581.8606614306723,523.9098732129918,0.999921441078186,246.9303478320591,772.6594375090389,0.9310699701309204,351.07906967010615,655.9060901187088,0.9999809265136719
42,371.18979937930914,406.16271086764664,0.9991815686225891,598.238817545183,507.41334654933195,0.999935507774353,252.90485356195796,738.5594146523913,0.874291181564331,356.64766493659255,633.1075625962218,0.9999650716781616
43,393.4514530608636,384.66448440769665,0.9997822642326355,615.2545438169029,490.50771533443896,0.9997590184211731,242.8660721671957,786.1356052704509,0.9872938990592957,369.1858329572183,615.6768942795518,0.9999350309371948
44,404.47603862050556,357.48368537959027,0.9998996257781982,632.3463125748186,478.00257180292573,0.9999045133590698,257.4548760899373,696.3416334065187,0.9828528761863708,384.4745669138092,602.108910193924,0.9999487400054932
45,417.047013056239,336.5169128825174,0.9997645020484924,646.046825491599,477.0564148449984,0.9999102354049683,258.2308692300046,714.5753995963145,0.9874617457389832,395.7099623325482,600.8172996006365,0.9998716115951538
46,430.2805502782166,329.52930760878115,0.99992835521698,659.2338847851595,483.13913687548035,0.9999139308929443,259.3751367782629,681.7675204803095,0.9912657141685486,400.3581010858098,600.3457115985063,0.9996826648712158
47,439.8693582301905,328.62024976875875,0.9999634027481079,670.2180552604989,486.96128278170113,0.9980887770652771,260.0130925714815,684.7158066522247,0.9989996552467346,404.521059560151,602.9032387906344,0.9999028444290161
48,452.67396640262206,329.56277511783384,0.9993693232536316,674.332090303489,491.6311167911384,0.9970859885215759,260.50826850058627,648.8178973610231,0.998996913433075,411.8771680352755,605.0226822683064,0.9998213648796082
49,454.65479490524757,328.9477974215153,0.9999539852142334,672.9164644459485,490.83648824005957,0.9950816631317139,250.58034111963454,669.3001071137309,0.9841440916061401,418.4218761685079,602.9177668424417,0.9997237324714661
50,462.82995560184156,324.7327930708655,0.999836802482605,669.433609598388,489.1274229560116,0.9954959154129028,251.16185224853123,699.5209862578536,0.9905750155448914,420.3961705244592,604.5134554752702,0.9999669790267944
51,458.21359060601884,323.4738623828622,0.9998053908348083,665.2681999570742,494.3396858599752,0.9811347723007202,251.21896557677584,724.3705502136722,0.9884976148605347,419.52967764581206,607.6961193986363,0.9998748302459717
52,451.2198137643464,335.06667418808036,0.9996058344841003,660.9614327888372,511.2633649287366,0.9540637135505676,245.471338472348,763.7830974315106,0.9924989342689514,418.0903803786232,623.8006867711449,0.9998562335968018
53,444.96600199002364,359.12293344680734,0.9996117949485779,656.8246929108051,531.6280816387816,0.9873381853103638,245.34488461879906,782.6733838430711,0.9490790367126465,413.6629386742963,638.0239448317284,0.9999662637710571
54,437.4064473937469,386.73069192208675,0.9998916387557983,649.7767984823911,554.5668415772004,0.9929457306861877,244.09200789163697,767.6508217007134,0.07275094091892242,404.21674825657016,653.9672651279692,0.9997738003730774
55,427.75639550939104,414.0625886008824,0.9998950958251953,639.8283054875507,575.4319547536087,0.050198912620544434,239.33211385649048,796.6025315224117,0.047127626836299896,394.02672158829347,673.4677185921892,0.9998213648796082
56,420.60824939417677,440.42609251826104,0.9999114274978638,627.5220813983706,601.1643782656216,0.016666900366544724,236.8798337115557,793.6921768730526,0.006456995382905006,387.6521890123048,690.8374005999034,0.9992319345474243
57,410.39262121494363,466.9951198307068,0.999915599822998,439.00960477432153,738.4964534757341,0.4545428454875946,290.5493061169925,727.9468693724427,0.005075159016996622,382.0885548773424,714.0539726817915,0.9987834095954895
58,401.0097259686874,494.84500069096305,0.9996836185455322,502.91427979571296,662.9511354915937,0.8249613642692566,320.35322254087316,575.328451046397,0.010829664766788483,371.5250467439615,735.6429083665339,0.9980626702308655
59,389.0522292271224,526.7433159235064,0.9844580292701721,533.3340042531654,663.6229476966604,0.944969654083252,343.4792600230553,610.0575990149628,0.00805195327848196,357.2475052001493,764.3405112086036,0.9941421151161194
60,373.85255560725244,561.967589820803,0.9966009855270386,547.8822049657516,696.3144855713367,0.9992396831512451,360.00209450302987,633.9357783579271,0.019468087702989578,343.9450619473593,790.876223131573,0.9944816827774048
61,346.4712010700732,600.2892866075229,0.9999761581420898,539.3268743033481,732.7461464149376,0.99956876039505,292.82980146514376,775.0289888846164,0.08965291827917099,328.7090271373512,818.1737930572214,0.4358498156070709
62,327.4216852517251,630.0566952009407,0.9999282360076904,532.3185648977691,746.9278112404536,0.9998927116394043,282.49584537351,780.9427323399669,0.05124461278319359,311.58894420943847,828.2923771863436,0.9955096244812012
63,324.4225375397354,631.711521260936,0.9999253749847412,528.1771581959719,736.679605830864,0.9999402761459351,250.81736807997723,770.7407064834334,0.9529172778129578,297.1236256796366,837.54646118907,0.9995637536048889
64,329.26105051784464,609.9350075247905,0.9999309778213501,536.9293372379478,723.2566708124085,0.9997846484184265,243.0111923182511,823.929049377913,0.9944316744804382,295.091545613981,825.0366914394829,0.9994425177574158
